Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Step Count
2024-11-12,Evening Workout,1h 26m,Low Row Machine ,3,110.0,7.0,6953
2024-11-12,Evening Workout,1h 26m,Lat Pulldown (Cable),1,60.0,6.0,6953
2024-11-12,Evening Workout,1h 26m,Lat Pulldown (Cable),2,50.0,9.0,6953
2024-11-12,Evening Workout,1h 26m,Bayesian Cable Curl ,1,14.0,10.0,6953
2024-11-12,Evening Workout,1h 26m,Bayesian Cable Curl ,2,14.0,8.0,6953
2024-11-12,Evening Workout,1h 26m,Bicep Curl (Barbell),1,50.0,9.0,6953
2024-11-12,Evening Workout,1h 26m,Bicep Curl (Barbell),2,50.0,6.0,6953
2024-11-12,Evening Workout,1h 26m,Reverse Fly (Machine),1,120.0,6.0,6953
2024-11-12,Evening Workout,1h 26m,Reverse Fly (Machine),2,105.0,7.0,6953
2024-11-13,Evening Workout,2h 48m,Squat (Barbell),1,205.0,6.0,10339
2024-11-13,Evening Workout,2h 48m,Squat (Barbell),2,185.00000000000003,5.0,10339
2024-11-13,Evening Workout,2h 48m,Squat (Barbell),3,155.0,9.0,10339
2024-11-13,Evening Workout,2h 48m,Seated Leg Curl (Machine),1,110.0,5.0,10339
2024-11-13,Evening Workout,2h 48m,Seated Leg Curl (Machine),2,95.0,9.0,10339
2024-11-13,Evening Workout,2h 48m,Seated Leg Curl (Machine),3,95.0,7.0,10339
2024-11-13,Evening Workout,2h 48m,Leg Extension (Machine),1,190.0,8.0,10339
2024-11-13,Evening Workout,2h 48m,Leg Extension (Machine),2,190.0,6.0,10339
2024-11-13,Evening Workout,2h 48m,Leg Extension (Machine),3,175.0,4.0,10339
2024-11-13,Evening Workout,2h 48m,Standing Calf Raise (Smith Machine),1,160.0,12.0,10339
2024-11-16,Afternoon Workout,1h 13m,Bench Press (Barbell),1,160.0,4.0,8118
2024-11-16,Afternoon Workout,1h 13m,Bench Press (Barbell),2,149.99999999999997,4.0,8118
2024-11-16,Afternoon Workout,1h 13m,Bench Press (Barbell),3,135.0,6.0,8118
